iter	RMSE
0	37.96088363
1	37.41666553
2	36.88777268
3	36.38210452
4	35.89999147
5	35.43130507
6	34.98765369
7	34.55863861
8	34.14293322
9	33.75258306
10	33.37832147
11	33.01316907
12	32.67329573
13	32.34296624
14	32.02595038
15	31.71751001
16	31.42023676
17	31.14781257
18	30.87130553
19	30.61455733
20	30.37457056
21	30.14213083
22	29.91577309
23	29.69549783
24	29.47566747
25	29.26563851
26	29.06912599
27	28.86856232
28	28.68426222
29	28.51418625
30	28.34548292
31	28.18407752
32	28.02683257
33	27.88091261
34	27.73878406
35	27.59213627
36	27.45342781
37	27.32577311
38	27.19232164
39	27.0700885
40	26.95265304
41	26.84320317
42	26.73471817
43	26.6331837
44	26.52711273
45	26.42985385
46	26.32672679
47	26.23724048
48	26.14252786
49	26.05464481
50	25.96661527
51	25.89348756
52	25.8167047
53	25.74335288
54	25.66249942
55	25.59105574
56	25.52207863
57	25.45866459
58	25.39523111
59	25.33397896
60	25.2715082
61	25.21571227
62	25.16069809
63	25.10097098
64	25.03926805
65	24.98204152
66	24.93200081
67	24.87926211
68	24.82927276
69	24.7790916
70	24.73043221
71	24.68753607
72	24.64510302
73	24.60076261
74	24.55706637
75	24.51501106
76	24.47386643
77	24.43482915
78	24.39029228
79	24.35497068
80	24.31719121
81	24.27570827
82	24.23938695
83	24.20566485
84	24.1745954
85	24.14294009
86	24.11442107
87	24.08151277
88	24.05221307
89	24.02294087
90	23.98979271
91	23.95629804
92	23.92687676
93	23.90063886
94	23.87134088
95	23.83972269
96	23.81751253
97	23.78982056
98	23.76764107
99	23.74384689
100	23.71874303
101	23.69568547
102	23.66967877
103	23.64099504
104	23.61572063
105	23.59435451
106	23.56826509
107	23.53998437
108	23.51637237
109	23.49698861
110	23.47667165
111	23.45851243
112	23.44073418
113	23.421383
114	23.40216551
115	23.38166873
116	23.35931249
117	23.34156679
118	23.32297782
119	23.3063302
120	23.28595736
121	23.26908638
122	23.25247076
123	23.23553857
124	23.2192988
125	23.20563734
126	23.18891499
127	23.17223448
128	23.15396981
129	23.13702482
130	23.11870266
131	23.1041494
132	23.0888358
133	23.07615765
134	23.06286071
135	23.04112651
136	23.03007089
137	23.01653659
138	23.00148203
139	22.98898587
140	22.97461062
141	22.96372993
142	22.94965909
143	22.93583168
144	22.92300265
145	22.91043161
146	22.89644356
147	22.88276278
148	22.86469971
149	22.85298097
150	22.84146107
151	22.83036885
152	22.81912845
153	22.80434535
154	22.7922108
155	22.78470312
156	22.77400922
157	22.76305417
