iter	Passed	Remaining
0	10	103577
1	19	99745
2	29	97322
3	38	96751
4	48	97125
5	57	96493
6	68	97377
7	77	97317
8	87	97646
9	97	97214
10	106	97103
11	115	96524
12	125	96431
13	134	96197
14	144	96099
15	154	96234
16	163	96197
17	172	95749
18	182	95861
19	192	96131
20	202	96036
21	210	95675
22	220	95452
23	229	95329
24	239	95426
25	248	95327
26	257	95109
27	267	95135
28	276	95063
29	285	94902
30	295	95072
31	305	95227
32	314	95043
33	324	95013
34	333	94996
35	342	94786
36	352	94828
37	361	94779
38	370	94625
39	379	94608
40	389	94521
41	397	94327
42	407	94333
43	415	94123
44	425	94140
45	434	94081
46	443	93920
47	452	93921
48	462	93876
49	471	93855
50	481	93843
51	489	93702
52	499	93653
53	507	93565
54	518	93715
55	527	93704
56	536	93591
57	545	93574
58	554	93507
59	564	93533
60	573	93389
61	582	93345
62	591	93320
63	600	93219
64	609	93083
65	618	93050
66	627	93094
67	636	93009
68	645	92974
69	655	92942
70	665	93042
71	675	93118
72	685	93175
73	694	93138
74	703	93062
75	712	92993
76	721	92923
77	729	92815
78	739	92808
79	747	92727
80	757	92767
81	766	92716
82	776	92731
83	784	92630
84	793	92576
85	803	92591
86	812	92616
87	822	92637
88	831	92585
89	839	92491
90	849	92480
91	858	92441
92	866	92358
93	875	92265
94	884	92248
95	894	92254
96	903	92286
97	913	92268
98	923	92352
99	932	92330
100	940	92224
101	949	92145
102	957	92023
103	966	91994
104	975	91885
105	984	91929
106	993	91902
107	1004	91979
108	1013	91980
109	1022	91972
110	1031	91923
111	1040	91866
112	1049	91845
113	1059	91884
114	1069	91912
115	1077	91824
116	1086	91805
117	1097	91900
118	1106	91866
119	1115	91827
120	1123	91725
121	1132	91668
122	1141	91623
123	1150	91661
124	1159	91613
125	1168	91550
126	1177	91507
127	1185	91457
128	1194	91431
129	1203	91389
130	1213	91412
131	1221	91338
132	1231	91348
133	1239	91232
134	1248	91202
135	1256	91151
136	1264	91061
137	1273	91006
138	1282	91009
139	1292	91011
